date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2022-05-13,sh.601360,8.2500,8.2900,8.1500,8.2300,8.2400,25273755,207570448.4900,3,0.353700,1,-0.121400,68.891101,1.720417,5.415186,-265.697694,0
2022-05-16,sh.601360,8.2800,8.3000,8.0800,8.1100,8.2300,29132708,237510570.0600,3,0.407700,1,-1.458100,67.886613,1.695332,5.336228,-261.823608,0
2022-05-17,sh.601360,8.1300,8.1500,7.9600,8.1400,8.1100,35549504,286395912.0700,3,0.497500,1,0.369900,68.137735,1.701604,5.355967,-262.792129,0
2022-05-18,sh.601360,8.3700,8.7800,8.3000,8.3300,8.1400,107209178,908903007.6400,3,1.500400,1,2.334200,69.728174,1.741322,5.480984,-268.926098,0
2022-05-19,sh.601360,8.1600,8.2200,8.0800,8.2000,8.3300,52918574,430975899.2500,3,0.740600,1,-1.560600,68.639979,1.714146,5.395446,-264.729172,0
2022-05-20,sh.601360,8.2200,8.3300,8.2200,8.3000,8.2000,41199138,340691811.2000,3,0.576600,1,1.219500,69.477052,1.735050,5.461244,-267.957577,0
2022-05-23,sh.601360,8.3200,8.4200,8.2700,8.3800,8.3000,39362651,328271936.4100,3,0.550900,1,0.963900,70.146710,1.751774,5.513883,-270.540300,0
2022-05-24,sh.601360,8.3400,8.3900,7.9900,7.9900,8.3800,45776963,374760087.6100,3,0.640700,1,-4.653900,66.882126,1.670247,5.257270,-257.949523,0
2022-05-25,sh.601360,7.9800,8.1400,7.9800,8.1300,7.9900,33209016,268721628.2500,3,0.464800,1,1.752200,68.054028,1.699513,5.349388,-262.469289,0
2022-05-26,sh.601360,8.1400,8.2600,8.0200,8.2000,8.1300,35821073,291742089.8900,3,0.501300,1,0.861000,68.639979,1.714146,5.395446,-264.729172,0
2022-05-27,sh.601360,8.2500,8.3000,8.1200,8.1600,8.2000,28096774,230874300.6400,3,0.393200,1,-0.487800,68.305150,1.705784,5.369127,-263.437810,0
